tier,summonerId,summonerName
SILVER,sf1BOotEn5igX5ToIj8A9vC5YHCNp0exb8Lao3H2U2lwtWf6,lIIllllllllllIll
SILVER,WuZpoGF2vXLveggx908LK44YYUvITw1QkJHryIyVMDubF3I,판테온장난감
SILVER,4KDaIStu10H5u0i0VFAxNI8FktY47vnyptsPZNsVN0A8uTAP,꼬꼬닭마요
SILVER,bmrnUNKvMDT7NH6_v-xGmXc4GUdZiCs5c3wavNVU-_Z0Yosg,스크류바 공장
SILVER,oekTOjYboYy2toSuEnfeosZ0bOoSY9Zm3XrwQugkApVbXm-6,notactic
SILVER,NDF_jANYLoMAImwNcZ5MAUr3HOGv_ooSR_daArZ2q35u_hdO,공부안할래
SILVER,s7Zh3CVdp-zBl4NUn7CDhjns0Z-MAztWfYBeO-OEfXYYlhs,선 급
SILVER,OQ9RIHXZu6qR3FvkWPnm2jGPURGhR9fAfzDc6B83uqcluORV,귀요미 노무현
SILVER,eEz0cbR_7MCCpAs77QWpDEUC2czQwYNgHTb8AkGlXprgLIEJ,민주야 아찔하네
SILVER,SHt9eipss7q8D9d_LI9WVPw5cKfSVhfsQLpCLdBArqGutZY,가끔즐기면재밋음
SILVER,R4A4HzIHeBFUBV3OU8oX4O0srkvGE8lupbQzC0Gz0cWi1Nxb,angiography
SILVER,ceTsobKo8874r3s4lOyMJCEZEP2fyeUmUs4RalDz3fzrUUrC,브라움싫엉
SILVER,CYx8pd7wNgS4sukrbQTyzrIi4d0I73tE3GbmU4lzpwYixcwM,없 떠
SILVER,FV2b84vVoIXLxG-nDsiwzuuWi_EhYMLsEt5OSP_mxvTe9QWM,사월의가수김사월
SILVER,3tmMkF2UhZeZv2eqN10Rg3eD6-p4_9g8EBU9KQbnN0HpuoB3,faiwocmaz
SILVER,d769GWjf4bd5ZfI4srvx6c4HqpT7OUUs9GSwG8hwZhiF1vYP,옥슬아 사랑해
SILVER,Ow5mSdhVgMw3CB0X52v7LjsSrvcnGj-IOc8v7oad7dTtGVx6,새우뺀김밥
SILVER,V6Kc8keL3Z2bCy80AzEi-yVRYUgCvW4vqzWRqMargSmjIjHu,피구공 맞은 통키
SILVER,h6w9D7e_rkUh6Jv7cSMYZRhizBwTFTbpwbR22gL2lU2xuZ7H,현란한딸근움직임
SILVER,J6nCmBG72YFqrYFF51bh3RxyfhmNTNkasFy1dxa0OEGNCnjl,멍때리면서함그냥
SILVER,XsaJSk6feczGoPijZzJi5aZDoJ7xrYyH3N4-i1bOGCctepnK,명배선배후배
SILVER,gSL9GYA-_Mlt39z7_6qFGAbfOoh-AJnZASVyILSuC7SWbO-3,너의마음속에음파
SILVER,nsF-FHdm090-7eJ9cjnaP9sW_MnbhCzxUoP5t7TxSlCtsynl,nineangel
SILVER,PwzKtgNcD8tQaP8lKcbpBX6SVcfykQLQA1lJ0GKLaPmn6W-S,정신이상
SILVER,a7rNrjRK09MaUC31tfiTOkIH5ERQvVkZEo36P1JYstngKo4I,안오면던져요수고
SILVER,ea0vXM2NqjYotNCk7zUIPFZufkJt5v79k4DsR4rqNmouVZva,OTLII
SILVER,6BItXKx0voUYkpB7d-2rnSPxggMFPcUrN9IKfJf1tdTc6NEE,왕이될남자김윤재
